has,prefers,count
"Arménie","Autriche",3
"Arménie","Biélorussie",5
"Arménie","Croatie",3
"Arménie","Danemark",2
"Arménie","Espagne",0,1666666667
"Arménie","France",3,8571428571
"Arménie","Grèce",7
"Arménie","Islande",3
"Arménie","Italie",4
"Arménie","Malte",2
"Arménie","Monténégro",
"Arménie","Norvège",4,2
"Arménie","Roumanie",2
"Arménie","Russie",10,4285714286
"Arménie","Saint-Marin",
"Arménie","Suède",2
"Arménie","Ukraine",8
"Autriche","Allemagne",6,1666666667
"Autriche","Arménie",3
"Autriche","Azerbaïdjan",7
"Autriche","Danemark",1,25
"Autriche","Espagne",1
"Autriche","Grèce",2,1666666667
"Autriche","Hongrie",1
"Autriche","Italie",5,3333333333
"Autriche","Malte",1,25
"Autriche","Monténégro",
"Autriche","Pays-Bas",4
"Autriche","Roumanie",2,3333333333
"Autriche","Russie",0,8333333333
"Autriche","Saint-Marin",
"Autriche","Slovénie",2
"Autriche","Suède",2,1666666667
"Autriche","Ukraine",2
"Allemagne","Arménie",2,2
"Allemagne","Autriche",6
"Allemagne","Azerbaïdjan",0,8333333333
"Allemagne","Danemark",3,375
"Allemagne",",3333333333
"Allemagne","Finlande",2,3333333333
"Allemagne","Grèce",8,25
"Allemagne","Hongrie",4
"Allemagne","Islande",2,2
"Allemagne","Italie",2
"Allemagne","Malte",3
"Allemagne","Monténégro",
"Allemagne","Norvège",1
"Allemagne","Pologne",2
"Allemagne","Roumanie",1
"Allemagne","Russie",4
"Allemagne","Saint-Marin",
"Allemagne","Slovénie",1
"Allemagne","Suède",2
"Allemagne","Suisse",1,3333333333
"Allemagne","Ukraine",1,1
"Azerbaïdjan","Allemagne",0,1666666667
"Azerbaïdjan","Biélorussie",4
"Azerbaïdjan","Danemark",2
"Azerbaïdjan","Grèce",3,8333333333
"Azerbaïdjan","Hongrie",1
"Azerbaïdjan","Malte",5,3333333333
"Azerbaïdjan","Monténégro",
"Azerbaïdjan","Norvège",3,4
"Azerbaïdjan","Roumanie",5
"Azerbaïdjan","Royaume-Uni",1,1666666667
"Azerbaïdjan","Russie",5,1666666667
"Azerbaïdjan","Saint-Marin",
"Azerbaïdjan","Suède",1,4
"Azerbaïdjan","Ukraine",10
"Biélorussie","Allemagne",1
"Biélorussie","Arménie",5
"Biélorussie","Azerbaïdjan",7,8333333333
"Biélorussie","Danemark",0,25
"Biélorussie","Espagne",1,2
"Biélorussie","Finlande",1,3333333333
"Biélorussie","France",1
"Biélorussie","Grèce",2,4
"Biélorussie","Islande",0,5714285714
"Biélorussie","Italie",1
"Biélorussie","Malte",3
"Biélorussie","Monténégro",
"Biélorussie","Norvège",3,125
"Biélorussie","Roumanie",1
"Biélorussie","Royaume-Uni",1
"Biélorussie","Russie",11
"Biélorussie","Saint-Marin",
"Biélorussie","Slovénie",2
"Biélorussie","Suède",2,1111111111
"Biélorussie","Ukraine",9
"Danemark","Allemagne",5
"Danemark","Andorre",
"Danemark","Autriche",1
"Danemark","Azerbaïdjan",2
"Danemark","Bosnie",3,2222222222
"Danemark","Chypre",2
"Danemark","Finlande",3,8333333333
"Danemark","France",1,4
"Danemark","Grèce",2
"Danemark","Hongrie",2
"Danemark","Islande",5,7142857143
"Danemark","Italie",1
"Danemark","Luxembourg",
"Danemark","Malte",3
"Danemark","Monténégro",
"Danemark","Norvège",7
"Danemark","Pays-Bas",5
"Danemark","Roumanie",3
"Danemark","Royaume-Uni",1
"Danemark","Russie",2
"Danemark","Saint-Marin",
"Danemark","Serbie",1,1428571429
"Danemark","Slovaquie",
"Danemark","Slovénie",4
"Danemark","Suède",9,2222222222
"Danemark","Turquie",6
"Danemark","Ukraine",1,2222222222
"Espagne","Allemagne",5
"Espagne","Arménie",6,3333333333
"Espagne","Azerbaïdjan",2,3333333333
"Espagne","Danemark",3
"Espagne","Finlande",2
"Espagne","France",1
"Espagne","Grèce",2,1
"Espagne","Islande",1,4285714286
"Espagne","Italie",8,3333333333
"Espagne","Malte",1,3333333333
"Espagne","Monténégro",
"Espagne","Norvège",3,25
"Espagne","Pologne",1
"Espagne","Roumanie",9,3
"Espagne","Royaume-Uni",1,4
"Espagne","Russie",4
"Espagne","Saint-Marin",
"Espagne","Slovénie",2
"Espagne","Suède",3,4444444444
"Espagne","Ukraine",4,4
"Finlande","Allemagne",1,4
"Finlande","Arménie",0,1666666667
"Finlande","Autriche",1
"Finlande","Azerbaïdjan",1,1666666667
"Finlande","Danemark",2,375
"Finlande","Espagne",1
"Finlande",",6666666667
"Finlande","France",2
"Finlande","Grèce",2
"Finlande","Hongrie",8
"Finlande","Islande",6,2857142857
"Finlande","Italie",1
"Finlande","Malte",1,8333333333
"Finlande","Monténégro",
"Finlande","Norvège",6,125
"Finlande","Pays-Bas",4
"Finlande","Roumanie",1
"Finlande","Russie",5
"Finlande","Saint-Marin",
"Finlande","Suède",7,4444444444
"Finlande","Suisse",3,3333333333
"Finlande","Ukraine",2
"France","Allemagne",2,3
"France","Arménie",9
"France","Autriche",2
"France","Azerbaïdjan",3
"France","Danemark",3
"France","Espagne",4,1
"France","Finlande",1,8333333333
"France","Grèce",3
"France","Hongrie",1
"France","Italie",6,3333333333
"France","Malte",2
"France","Monténégro",
"France","Norvège",1
"France","Roumanie",3
"France","Royaume-Uni",1
"France","Russie",2
"France","Saint-Marin",
"France","Suède",3,3333333333
"France","Ukraine",1
"Grèce","Allemagne",1
"Grèce","Arménie",5,8333333333
"Grèce","Autriche",3
"Grèce","Azerbaïdjan",6
"Grèce","Biélorussie",2
"Grèce","Danemark",1
"Grèce","Espagne",1,3
"Grèce","Finlande",2
"Grèce","France",3
"Grèce","Hongrie",1
"Grèce","Islande",1
"Grèce","Italie",6,3333333333
"Grèce","Malte",2
"Grèce","Monténégro",
"Grèce","Norvège",3
"Grèce","Pologne",2
"Grèce","Roumanie",4
"Grèce","Royaume-Uni",1,4
"Grèce","Russie",3
"Grèce","Saint-Marin",
"Grèce","Suède",1,3333333333
"Grèce","Suisse",1
"Grèce","Ukraine",4,1
"Hongrie","Allemagne",1,4285714286
"Hongrie","Arménie",1
"Hongrie","Autriche",2
"Hongrie","Azerbaïdjan",8,2
"Hongrie","Biélorussie",2
"Hongrie","Danemark",4
"Hongrie","Espagne",0,1428571429
"Hongrie","Grèce",5,7142857143
"Hongrie","Islande",6,2
"Hongrie","Italie",3
"Hongrie","Malte",3,25
"Hongrie","Monténégro",
"Hongrie","Norvège",4
"Hongrie","Pays-Bas",5
"Hongrie","Roumanie",2,7142857143
"Hongrie","Royaume-Uni",0,1428571429
"Hongrie","Russie",3,7142857143
"Hongrie","Saint-Marin",
"Hongrie","Slovénie",3
"Hongrie","Suède",3,2857142857
"Hongrie","Suisse",2
"Hongrie","Ukraine",3,4285714286
"Islande","Allemagne",1,1
"Islande","Arménie",1
"Islande","Azerbaïdjan",3,1666666667
"Islande","Biélorussie",1,3333333333
"Islande","Danemark",9,375
"Islande","Finlande",8,1666666667
"Islande","France",3
"Islande","Grèce",2,1
"Islande","Hongrie",4
"Islande","Italie",1
"Islande","Malte",2
"Islande","Monténégro",
"Islande","Norvège",6,125
"Islande","Pays-Bas",4
"Islande","Pologne",2
"Islande","Roumanie",2
"Islande","Russie",2
"Islande","Saint-Marin",
"Islande","Suède",6
"Islande","Suisse",2,3333333333
"Islande","Ukraine",4
"Italie","Allemagne",5
"Italie","Danemark",8
"Italie","Espagne",1
"Italie","Grèce",3
"Italie","Hongrie",1
"Italie","Islande",2
"Italie","Malte",5
"Italie","Monténégro",
"Italie","Norvège",4
"Italie","Pologne",
"Italie","Roumanie",7
"Italie","Royaume-Uni",3,3333333333
"Italie","Russie",3,3333333333
"Italie","Saint-Marin",
"Italie","Ukraine",5
"Malte","Allemagne",1
"Malte","Arménie",0,1666666667
"Malte","Autriche",1
"Malte","Azerbaïdjan",8,1666666667
"Malte","Biélorussie",4
"Malte","Danemark",4
"Malte","Espagne",1
"Malte","Finlande",2
"Malte","Grèce",5
"Malte","Islande",3,4285714286
"Malte","Italie",9,3333333333
"Malte","Monténégro",
"Malte","Norvège",3
"Malte","Pays-Bas",1
"Malte","Roumanie",3
"Malte","Royaume-Uni",5
"Malte","Russie",2,2
"Malte","Saint-Marin",
"Malte","Slovénie",4
"Malte","Suède",4,3333333333
"Malte","Suisse",4,3333333333
"Malte","Ukraine",5
"Monténégro","Autriche",
"Monténégro","Azerbaïdjan",8
"Monténégro","Biélorussie",3
"Monténégro","Danemark",3,3333333333
"Monténégro","Espagne",1
"Monténégro","France",0,25
"Monténégro","Grèce",3
"Monténégro","Islande",2
"Monténégro","Italie",4
"Monténégro","Norvège",5
"Monténégro","Pologne",
"Monténégro","Roumanie",0,25
"Monténégro","Russie",4,25
"Monténégro","Saint-Marin",
"Monténégro","Slovénie",8
"Monténégro","Suède",2
"Monténégro","Suisse",
"Monténégro","Ukraine",1
"Norvège","Allemagne",3
"Norvège","Azerbaïdjan",2,8333333333
"Norvège","Danemark",8
"Norvège","Finlande",5,3333333333
"Norvège","France",1
"Norvège","Grèce",1,1
"Norvège","Hongrie",2
"Norvège","Islande",6,8571428571
"Norvège","Italie",1,3333333333
"Norvège","Malte",3,3333333333
"Norvège","Monténégro",
"Norvège","Pays-Bas",4
"Norvège","Roumanie",3
"Norvège","Royaume-Uni",1
"Norvège","Russie",2,1
"Norvège","Saint-Marin",
"Norvège","Suède",9
"Norvège","Suisse",1
"Norvège","Ukraine",2
"Pays-Bas","Allemagne",3
"Pays-Bas","Arménie",8,1666666667
"Pays-Bas","Autriche",1
"Pays-Bas","Azerbaïdjan",3,3333333333
"Pays-Bas","Danemark",4
"Pays-Bas","Espagne",1
"Pays-Bas","Finlande",1,1666666667
"Pays-Bas","France",1
"Pays-Bas","Grèce",4
"Pays-Bas","Hongrie",2,2
"Pays-Bas","Islande",1
"Pays-Bas","Malte",2,1666666667
"Pays-Bas","Monténégro",
"Pays-Bas","Norvège",3,25
"Pays-Bas","Portugal",2
"Pays-Bas","Roumanie",1,3
"Pays-Bas","Russie",1,1
"Pays-Bas","Saint-Marin",
"Pays-Bas","Slovénie",1
"Pays-Bas","Suède",3
"Pays-Bas","Ukraine",2,1
"Royaume-Uni","Allemagne",2,2222222222
"Royaume-Uni","Autriche",1
"Royaume-Uni","Danemark",4,8571428571
"Royaume-Uni","Espagne",1,1111111111
"Royaume-Uni","Finlande",2,4
"Royaume-Uni","Grèce",8,1111111111
"Royaume-Uni","Islande",2
"Royaume-Uni","Italie",2,3333333333
"Royaume-Uni","Malte",5
"Royaume-Uni","Moldavie",1,4285714286
"Royaume-Uni","Monténégro",
"Royaume-Uni","Norvège",1,7142857143
"Royaume-Uni","Pays-Bas",3
"Royaume-Uni","Pologne",2
"Royaume-Uni","Roumanie",2
"Royaume-Uni","Russie",2,2222222222
"Royaume-Uni","Saint-Marin",
"Royaume-Uni","Suède",4,25
"Royaume-Uni","Suisse",3,3333333333
"Royaume-Uni","Ukraine",3,1111111111
"Pologne","Allemagne",2,125
"Pologne","Arménie",7
"Pologne","Azerbaïdjan",7,2
"Pologne","Biélorussie",4
"Pologne","Danemark",5
"Pologne","Espagne",0,125
"Pologne","Finlande",4
"Pologne","France",0,125
"Pologne","Grèce",2
"Pologne","Hongrie",4
"Pologne","Malte",1
"Pologne","Monténégro",
"Pologne","Norvège",5
"Pologne","Roumanie",2
"Pologne","Royaume-Uni",1
"Pologne","Russie",3
"Pologne","Saint-Marin",
"Pologne","Slovénie",2
"Pologne","Suède",2,4285714286
"Pologne","Suisse",2
"Pologne","Ukraine",8,375
"Roumanie","Allemagne",1
"Roumanie","Arménie",3
"Roumanie","Azerbaïdjan",4,3333333333
"Roumanie","Danemark",3
"Roumanie","Espagne",2
"Roumanie","Finlande",1
"Roumanie","Grèce",9,2
"Roumanie","Hongrie",6
"Roumanie","Islande",1,4285714286
"Roumanie","Italie",2,3333333333
"Roumanie","Malte",2
"Roumanie","Monténégro",
"Roumanie","Norvège",2,25
"Roumanie","Pays-Bas",1
"Roumanie","Royaume-Uni",1
"Roumanie","Russie",3
"Roumanie","Saint-Marin",
"Roumanie","Slovénie",2
"Roumanie","Suède",3
"Roumanie","Ukraine",3
"Russie","Allemagne",1
"Russie","Arménie",8,8333333333
"Russie","Azerbaïdjan",9,8333333333
"Russie","Biélorussie",5
"Russie","Danemark",0,625
"Russie","Finlande",1,3333333333
"Russie","France",2
"Russie","Grèce",4
"Russie","Hongrie",1
"Russie","Islande",0,7142857143
"Russie","Malte",2
"Russie","Monténégro",
"Russie","Norvège",4
"Russie","Pays-Bas",2
"Russie","Roumanie",1
"Russie","Royaume-Uni",1,1
"Russie","Saint-Marin",
"Russie","Slovénie",4
"Russie","Suède",2
"Russie","Suisse",2,3333333333
"Russie","Ukraine",7
"Saint-Marin","Arménie",5
"Saint-Marin","Azerbaïdjan",4
"Saint-Marin","Belgique",5
"Saint-Marin","Danemark",2
"Saint-Marin","Espagne",0,25
"Saint-Marin","Finlande",1
"Saint-Marin","France",3
"Saint-Marin","Grèce",8
"Saint-Marin","Hongrie",2
"Saint-Marin","Italie",8
"Saint-Marin","Malte",6
"Saint-Marin","Moldavie",3
"Saint-Marin","Monténégro",
"Saint-Marin","Norvège",5
"Saint-Marin","Portugal",5
"Saint-Marin","Roumanie",0,25
